"Issue Key","Summary","Description","Acceptance Criteria","Story Points"
"","Como Owner, quero poder avaliar as pessoas as quais pegaram meus livros com pontuações e/ou reviews.","","","3"
"","Como Owner, quero poder gerenciar meus livros cadastrados na plataforma.","","","5"
"","Como Member, quero poder avaliar as pessoas de quem peguei livros emprestado anteriormente com pontuações e/ou reviews.","","","3"
"","Como Member, quero poder ver as avaliações de livros que estão disponíveis na plataforma.","","","3"
"","Como Member, quero que o sistema recomende livros que possam me interessar baseado em livros que peguei emprestado anteriormente.","","","8"
"","Como Member, quero poder cadastrar meus livros para empréstimo.","","","5"
"","Como Guest, quero poder visualizar e buscar por livros disponíveis.","","","3"
"","Como Guest, gostaria de visualizar dados históricos (quais são os usuários que mais emprestam ou tomam emprestado, os usuários com as maiores avaliações, as obras mais trocadas, etc.) para saber o quão popular a plataforma está se tornando.","","","8"
"","Como Guest, gostaria de poder me registrar informando meus dados (nome, CPF, endereço, telefone, etc.) a fim de me tornar um membro da plataforma.","","","5"
"","Como Member, quero definir se o livro que estou cadastrando pode ser emprestado a todos os membros, a apenas determinados grupos, pessoas ou a ninguém.","","","2"
"","Como Member, quero cadastrar um livro automaticamente apenas com o seu ISBN para poupar meu tempo.","","","5"
"","Como Owner, quero gerar etiquetas com informações personalizadas a fim de organizar meus livros físicos.","","","8"
"","Como Member, gostaria de criar um grupo para trocas de livros.","","","3"
"","Como um administrador do grupo, quero convidar pessoas da minha rede de contatos para participar do grupo.","","","5"
"","Como um administrador do grupo, quero adicionar outros membros num dos meus grupos para que ele tenha mais participantes.","","","3"
"","Como um membro de um grupo, gostaria de ver o histórico de trocas do grupo, quem mais empresta, quem toma mais emprestado e qual é a obra mais emprestada durante um período que eu escolher (dias, meses, anos) para saber como anda o movimento e as tendências do grupo.","","","8"
"","Como um membro de um grupo, gostaria de poder enviar mensagens para outros membros do grupo para me integrar à comunidade.","","","5"
"","Como um membro de um grupo, gostaria de sair do grupo porque ele não me interessa mais.","","","2"
"","Como um membro da plataforma, quero trocar mensagens com outro membro a fim de saber qual o estado dos livros que quero pedir emprestado ou pedir pra entrar em um de seus grupos.","","","5"
"","Como um membro, quero poder solicitar a outro membro o empréstimo de um livro que ele possua para que eu possa lê-lo.","","","3"
"","Como um membro, gostaria de ser notificado através do meio que escolhi (e-mail, SMS, etc.) sempre que houver algum evento que me interesse (mensagens, requisições de empréstimo/devolução, expiração de devolução) para me manter atualizado.","","","8"
